,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-01 21:00:00.000,8.37716237096e-10,3.39215433594e-10,3.66619166883e-10
2019-12-01 21:15:00.000,8.46466744839e-10,3.36161569205e-10,3.64017238702e-10
2019-12-01 21:30:00.000,7.69263115155e-10,2.29351674953e-10,2.54540324952e-10
2019-12-01 21:45:00.000,7.60992150639e-10,1.96399405767e-10,2.22768286695e-10
2019-12-01 22:00:00.000,8.06520800847e-10,2.63963518168e-10,2.9794349668e-10
2019-12-01 22:15:00.000,7.85678685643e-10,2.61645184827e-10,2.9625012999e-10
2019-12-01 22:30:00.000,7.72501390043e-10,2.55483427853e-10,2.86487748542e-10
2019-12-01 22:45:00.000,7.62343802962e-10,2.24997295658e-10,2.51341704232e-10
2019-12-01 23:00:00.000,7.63039435834e-10,1.95237010486e-10,2.21171063099e-10
2019-12-01 23:15:00.000,7.64046093048e-10,1.70834801668e-10,1.98302716354e-10
2019-12-01 23:30:00.000,7.63391553501e-10,1.87703309596e-10,2.13629098239e-10
2019-12-01 23:45:00.000,7.84256822135e-10,2.02733778335e-10,2.28432823859e-10
2019-12-02 00:00:00.000,7.76042301795e-10,1.77164916294e-10,2.0497515858e-10
2019-12-02 00:15:00.000,7.7405172023e-10,1.9138320735e-10,2.17118180874e-10
2019-12-02 00:30:00.000,7.94939872443e-10,2.32001393568e-10,2.58782648928e-10
2019-12-02 00:45:00.000,7.92668473662e-10,2.62230094439e-10,2.88436156551e-10
2019-12-02 01:00:00.000,8.17880569718e-10,2.55457009619e-10,2.81349229724e-10
2019-12-02 01:15:00.000,7.95367902253e-10,1.66899785212e-10,1.97242131448e-10
2019-12-02 01:30:00.000,8.04084645473e-10,1.5745406376e-10,1.8755425995e-10
2019-12-02 01:45:00.000,8.12488664055e-10,2.38683146052e-10,2.66308469691e-10
2019-12-02 02:00:00.000,8.29024101725e-10,2.78191047843e-10,3.10175119013e-10
2019-12-02 02:15:00.000,8.09237580271e-10,2.39265386561e-10,2.70446775561e-10
2019-12-02 02:30:00.000,7.91991601917e-10,1.826633227e-10,2.09845561236e-10
2019-12-02 02:45:00.000,8.19342079662e-10,1.36118737958e-10,1.71008931392e-10
2019-12-02 03:00:00.000,8.22602376951e-10,1.36665866406e-10,1.70677828312e-10
2019-12-02 03:15:00.000,8.13582512301e-10,1.33058068588e-10,1.66425418672e-10
2019-12-02 03:30:00.000,8.17297459588e-10,1.26168605793e-10,1.58808733364e-10
2019-12-02 03:45:00.000,8.26086883335e-10,1.22509382609e-10,1.56846182608e-10
2019-12-02 04:00:00.000,8.11144007308e-10,1.20243166541e-10,1.56708220437e-10
2019-12-02 04:15:00.000,8.11386225161e-10,1.19393906848e-10,1.55968494867e-10
2019-12-02 04:30:00.000,8.45965310302e-10,1.17689595552e-10,1.51200734674e-10
2019-12-02 04:45:00.000,8.69744395437e-10,1.46569178588e-10,1.71837145523e-10
2019-12-02 05:00:00.000,1.10016882969e-09,2.1378655656e-10,2.38867658144e-10
2019-12-02 05:15:00.000,1.11708105803e-09,2.11695637122e-10,2.3730568852e-10
2019-12-02 05:30:00.000,8.97951632172e-10,1.36907125116e-10,1.62434433077e-10
2019-12-02 05:45:00.000,9.34892707201e-10,1.86086452439e-10,2.08696586884e-10
2019-12-02 06:00:00.000,9.42368727731e-10,1.51868408454e-10,1.78278322482e-10
2019-12-02 06:15:00.000,9.24182721974e-10,1.23100647245e-10,1.52616757894e-10
2019-12-02 06:30:00.000,9.6957072579e-10,1.25551370569e-10,1.5339098528e-10
2019-12-02 06:45:00.000,9.96534471798e-10,1.45668158543e-10,1.72717501219e-10
2019-12-02 07:00:00.000,9.84522639709e-10,1.62541741234e-10,1.89377573353e-10
2019-12-02 07:15:00.000,9.93669826344e-10,1.62685703392e-10,1.91779619831e-10
2019-12-02 07:30:00.000,1.05465500858e-09,2.40242419929e-10,2.67352746975e-10
2019-12-02 07:45:00.000,1.15020765045e-09,3.02078891046e-10,3.30561488494e-10
2019-12-02 08:00:00.000,1.17931736172e-09,2.66298930126e-10,2.95821742863e-10
2019-12-02 08:15:00.000,1.17483718781e-09,2.63810630872e-10,2.93963657125e-10
2019-12-02 08:30:00.000,1.22905281379e-09,2.94813311493e-10,3.26368891033e-10
2019-12-02 08:45:00.000,1.27911939167e-09,3.53496716762e-10,3.8589931977e-10
2019-12-02 09:00:00.000,1.27538249644e-09,3.02413427024e-10,3.3509347638e-10
2019-12-02 09:15:00.000,1.28235416664e-09,3.04125293827e-10,3.39786514297e-10
2019-12-02 09:30:00.000,1.33233784445e-09,3.55966117427e-10,3.91928944634e-10
2019-12-02 09:45:00.000,1.39155602965e-09,4.02275765069e-10,4.39254299445e-10
2019-12-02 10:00:00.000,1.39124974952e-09,4.14257793266e-10,4.54545986873e-10
2019-12-02 10:15:00.000,1.44213588769e-09,4.68902779051e-10,5.63457353703e-10
2019-12-02 10:30:00.000,1.52996051741e-09,5.72683333646e-10,6.85154076879e-10
2019-12-02 10:45:00.000,1.59557962787e-09,6.74449710398e-10,7.70228669414e-10
2019-12-02 11:00:00.000,1.59865226955e-09,6.56606568393e-10,7.47433127872e-10
2019-12-02 11:15:00.000,1.57131758973e-09,6.170355524e-10,6.90309224912e-10
2019-12-02 11:30:00.000,1.61061839407e-09,6.34352137102e-10,7.14765428521e-10
