,4.0-14.0
2019-12-06 19:59:58.998000,77.7321007508
2019-12-06 20:14:58.998000,66.1601232999
2019-12-06 20:29:58.998000,60.0351792963
2019-12-06 20:44:58.998000,67.8590004938
2019-12-06 20:59:58.998000,70.0417237409
2019-12-06 21:14:58.998000,56.5358386746
2019-12-06 21:29:58.998000,56.5083448773
2019-12-06 21:44:58.998000,57.8194678288
2019-12-06 21:59:58.998000,54.672794407
2019-12-06 22:14:58.998000,49.1338092955
2019-12-06 22:29:58.998000,45.9003179497
2019-12-06 22:44:58.998000,41.7487552999
2019-12-06 22:59:58.998000,40.1101874585
2019-12-06 23:14:58.998000,46.1748844739
2019-12-06 23:29:58.998000,55.8689171365
2019-12-06 23:44:58.998000,53.110405012
2019-12-06 23:59:58.998000,43.2744686725
2019-12-07 00:29:58.997999,37.5866129904
2019-12-07 00:44:58.997999,43.6973091058
2019-12-07 00:59:58.997999,47.9922913513
2019-12-07 01:14:58.997999,45.6393157336
2019-12-07 01:29:58.997999,43.7777993183
2019-12-07 01:44:58.997999,51.0951520486
2019-12-07 01:59:58.997999,56.7669087883
2019-12-07 02:14:58.997999,60.0643679655
2019-12-07 02:29:58.997999,50.1902708864
2019-12-07 02:44:58.997999,36.1726193424
2019-12-07 02:59:58.997999,35.3464869141
2019-12-07 03:14:58.997999,36.3155694898
2019-12-07 03:29:58.997999,40.3185507183
2019-12-07 03:44:58.997999,39.4390053508
2019-12-07 03:59:58.997999,39.0667184815
2019-12-07 04:14:58.997999,31.4124404444
2019-12-07 04:29:58.997999,32.933427415
2019-12-07 04:44:58.997999,33.692000482
2019-12-07 04:59:58.997999,31.2901256581
2019-12-07 05:14:58.997999,32.2721184701
2019-12-07 05:29:58.997999,37.4047681916
2019-12-07 05:44:58.997999,38.8774998791
2019-12-07 05:59:58.997999,35.2716960776
2019-12-07 06:14:58.997999,36.4139067676
2019-12-07 06:29:58.997999,31.4842513777
2019-12-07 06:44:58.997999,35.969019197
2019-12-07 06:59:58.997999,39.7101487539
2019-12-07 07:14:58.997999,33.9121781012
2019-12-07 07:29:58.997999,34.7904073555
2019-12-07 07:44:58.997999,39.5463811074
2019-12-07 07:59:58.997999,33.5447589079
2019-12-07 08:14:58.997999,35.4427735087
2019-12-07 08:29:58.997999,33.6668858585
2019-12-07 08:44:58.997999,40.4149643896
2019-12-07 08:59:58.997999,48.3959999559
2019-12-07 09:14:58.997999,43.4034551104
2019-12-07 09:29:58.997999,39.6770797465
2019-12-07 09:44:58.997999,44.4773433022
2019-12-07 09:59:58.997999,42.7861228214
2019-12-07 10:14:58.997999,50.4821948951
2019-12-07 10:29:58.997999,55.6444275718
2019-12-07 10:44:58.997999,46.1900670293
2019-12-07 10:59:58.997999,46.828178852
2019-12-07 11:14:58.997999,50.5278688357
2019-12-07 11:29:58.997999,56.9052201254
2019-12-07 11:44:58.997999,62.35223129
2019-12-07 11:59:58.997999,58.3067307705
2019-12-07 12:14:58.997999,50.3746015406
2019-12-07 12:29:58.997999,47.2449935752
2019-12-07 12:44:58.997999,57.6283902395
2019-12-07 12:59:58.997999,60.8217315637
2019-12-07 13:14:58.997999,57.9220342838
2019-12-07 13:29:58.997999,56.4141843626
2019-12-07 13:44:58.997999,55.6339245371
2019-12-07 13:59:58.997999,55.6248263887
2019-12-07 14:14:58.997999,62.6206603457
2019-12-07 14:29:58.997999,79.6234534356
2019-12-07 14:44:58.997999,68.4284772804
2019-12-07 14:59:58.997999,56.9547029491
2019-12-07 15:14:58.997999,68.3695953561
2019-12-07 15:29:58.997999,55.0956887235
2019-12-07 15:44:58.997999,53.4617996774
2019-12-07 15:59:58.997999,47.9349038912
2019-12-07 16:14:58.997999,62.310023968
2019-12-07 16:29:58.997999,62.5606753695
2019-12-07 16:44:58.997999,50.3610470195
2019-12-07 16:59:58.997999,51.3725797579
2019-12-07 17:14:58.997999,55.6621309442
2019-12-07 17:29:58.997999,45.2178761512
2019-12-07 17:44:58.997999,46.1829375631
2019-12-07 17:59:58.997999,43.1334204097
2019-12-07 18:14:58.997999,38.100107602
2019-12-07 18:29:58.997999,42.9128938943
2019-12-07 18:44:58.997999,53.6254225292
2019-12-07 18:59:58.997999,55.3640323109
2019-12-07 19:14:58.997999,46.8490609719
2019-12-07 19:29:58.997999,46.662683384
2019-12-07 19:44:58.997999,36.8640163387
2019-12-07 19:59:58.997999,35.7422620886
2019-12-07 20:14:58.997999,35.6649557025
2019-12-07 20:29:58.997999,33.1430217939
2019-12-07 20:44:58.997999,46.5065233018
2019-12-07 20:59:58.997999,46.1230887222
2019-12-07 21:14:58.997999,43.2534225167
2019-12-07 21:29:58.997999,45.7571664943
2019-12-07 21:44:58.997999,38.2756646666
2019-12-07 21:59:58.997999,32.8559728427
2019-12-07 22:14:58.997999,32.884346586
2019-12-07 22:29:58.997999,34.0220954162
2019-12-07 22:44:58.997999,42.2113687763
2019-12-07 22:59:58.997999,39.9210135365
2019-12-07 23:14:58.997999,37.9901430848
2019-12-07 23:29:58.997999,33.6789830981
2019-12-07 23:44:58.997999,37.365842374
2019-12-07 23:59:58.997999,40.2903231577
2019-12-08 00:14:58.998000,38.152986818
2019-12-08 00:29:58.998000,36.3083859128
2019-12-08 00:44:58.998000,31.3450165338
2019-12-08 00:59:58.998000,29.4068264611
2019-12-08 01:14:58.998000,29.3841663587
2019-12-08 01:29:58.998000,31.9024238932
2019-12-08 01:44:58.998000,32.0018578331
2019-12-08 01:59:58.998000,32.9633675455
2019-12-08 02:14:58.998000,30.2314398185
2019-12-08 02:29:58.998000,27.3882670646
2019-12-08 02:44:58.998000,31.7390217477
2019-12-08 02:59:58.998000,39.842426096
2019-12-08 03:14:58.998000,34.5152066698
2019-12-08 03:29:58.998000,33.6683562021
2019-12-08 03:44:58.998000,33.1610204691
2019-12-08 03:59:58.998000,30.1803791269
2019-12-08 04:14:58.998000,34.5022687307
2019-12-08 04:29:58.998000,34.4219678872
2019-12-08 04:44:58.998000,24.2319339889
2019-12-08 04:59:58.998000,25.5019525595
2019-12-08 05:14:58.998000,30.07880574
2019-12-08 05:29:58.998000,37.5669731579
2019-12-08 05:44:58.998000,34.6934832996
2019-12-08 05:59:58.998000,28.9835751947
2019-12-08 06:14:58.998000,22.2597196351
2019-12-08 06:29:58.998000,26.6788000343
2019-12-08 06:44:58.998000,22.331724227
2019-12-08 06:59:58.998000,20.0699355267
2019-12-08 07:14:58.998000,20.9075171783
2019-12-08 07:29:58.998000,19.7378584339
2019-12-08 07:44:58.998000,18.9608634977
2019-12-08 07:59:58.998000,19.7782875914
2019-12-08 08:14:58.998000,22.6398626988
2019-12-08 08:29:58.998000,20.5810455246
2019-12-08 08:44:58.998000,19.7763696688
2019-12-08 08:59:58.998000,19.3495351478
2019-12-08 09:14:58.998000,19.5131338433
2019-12-08 09:29:58.998000,21.1644148583
2019-12-08 09:44:58.998000,23.1217089239
2019-12-08 09:59:58.998000,22.7449128225
2019-12-08 10:14:58.998000,23.9215638924
2019-12-08 10:29:58.998000,26.6889861166
2019-12-08 10:44:58.998000,22.2666494793
2019-12-08 10:59:58.998000,23.8857342214
2019-12-08 11:14:58.998000,26.2208612143
2019-12-08 11:29:58.998000,26.8090833378
2019-12-08 11:44:58.998000,32.7991522504
2019-12-08 11:59:58.998000,28.440981916
2019-12-08 12:14:58.998000,30.7557923467
2019-12-08 12:29:58.998000,37.96940772
2019-12-08 12:44:58.998000,29.1338172907
2019-12-08 12:59:58.998000,26.9940760972
2019-12-08 13:14:58.998000,26.6709641376
2019-12-08 13:29:58.998000,31.6155282569
2019-12-08 13:44:58.998000,35.7361919065
2019-12-08 13:59:58.998000,39.8042280762
2019-12-08 14:14:58.998000,43.1890277075
2019-12-08 14:29:58.998000,41.1143227511
2019-12-08 14:44:58.998000,42.2672665194
2019-12-08 14:59:58.998000,41.7830192068
2019-12-08 15:14:58.998000,36.9199401411
2019-12-08 15:29:58.998000,36.5743116144
2019-12-08 15:44:58.998000,65.650627278
2019-12-08 15:59:58.998000,81.1199726566
2019-12-08 16:14:58.998000,62.4080209353
2019-12-08 16:29:58.998000,42.4892128165
2019-12-08 16:44:58.998000,48.9500794781
2019-12-08 16:59:58.998000,37.8100043737
2019-12-08 17:14:58.998000,28.6238123928
2019-12-08 17:29:58.998000,34.4691531738
2019-12-08 17:44:58.998000,35.4448958237
2019-12-08 17:59:58.998000,29.1980148886
2019-12-08 18:14:58.998000,31.1513050273
2019-12-08 18:29:58.998000,32.7998330945
2019-12-08 18:44:58.998000,24.2316863212
2019-12-08 18:59:58.998000,24.7659653209
2019-12-08 19:14:58.998000,27.189246631
2019-12-08 19:29:58.998000,30.1343369505
2019-12-08 19:44:58.998000,35.94303307
2019-12-08 19:59:58.998000,39.6606621778
2019-12-08 20:14:58.998000,38.5786049913
2019-12-08 20:29:58.998000,32.6786882551
2019-12-08 20:44:58.998000,23.7243953023
2019-12-08 20:59:58.998000,25.2454712737
2019-12-08 21:14:58.998000,29.3384995326
2019-12-08 21:29:58.998000,24.3177378606
2019-12-08 21:44:58.998000,32.214104065
2019-12-08 21:59:58.998000,33.7462603227
2019-12-08 22:14:58.998000,37.8624577179
2019-12-08 22:29:58.998000,37.8252102599
2019-12-08 22:44:58.998000,32.8649257042
2019-12-08 22:59:58.998000,29.184150639
2019-12-08 23:14:58.998000,23.7129232191
2019-12-08 23:29:58.998000,28.1835329045
2019-12-08 23:44:58.998000,40.1423535162
2019-12-08 23:59:58.998000,45.4250458252
2019-12-09 00:29:58.997999,46.9720945974
2019-12-09 00:44:58.997999,40.3846672917
2019-12-09 00:59:58.997999,30.8954451721
2019-12-09 01:14:58.997999,28.3322985651
2019-12-09 01:29:58.997999,33.1496943965
2019-12-09 01:44:58.997999,44.3791665603
2019-12-09 01:59:58.997999,46.0883808501
2019-12-09 02:14:58.997999,44.313192865
2019-12-09 02:29:58.997999,65.883674045
2019-12-09 02:44:58.997999,92.1405451847
2019-12-09 02:59:58.997999,43.2836685356
2019-12-09 03:14:58.997999,27.8524549802
2019-12-09 03:29:58.997999,29.0628080973
2019-12-09 03:44:58.997999,25.0180412521
2019-12-09 03:59:58.997999,31.2761195863
2019-12-09 04:14:58.997999,33.0969040812
2019-12-09 04:29:58.997999,27.2266565868
2019-12-09 04:44:58.997999,28.3133527938
2019-12-09 04:59:58.997999,32.3849242894
2019-12-09 05:14:58.997999,27.6421316567
2019-12-09 05:29:58.997999,27.4933370292
2019-12-09 05:44:58.997999,27.3062318145
2019-12-09 05:59:58.997999,27.089929596
2019-12-09 06:14:58.997999,32.790452863
2019-12-09 06:29:58.997999,41.3079091561
2019-12-09 06:44:58.997999,40.8367182885
2019-12-09 06:59:58.997999,34.7101323365
2019-12-09 07:14:58.997999,29.6662256952
