,4.0-14.0,5.0-20.0
2019-12-08 09:44:57.230000,6.14585726106e-09,5.17694989823e-09
2019-12-08 09:59:57.230000,6.20518610812e-09,5.19933431635e-09
2019-12-08 10:14:57.230000,5.61291573095e-09,4.63917623658e-09
2019-12-08 10:29:57.230000,6.57778317704e-09,5.711919982e-09
2019-12-08 10:44:57.230000,6.64097023528e-09,5.68594358716e-09
2019-12-08 10:59:57.230000,6.32607260779e-09,4.86473625853e-09
2019-12-08 11:14:57.230000,5.75276214383e-09,4.38069755857e-09
2019-12-08 11:29:57.230000,5.60203119825e-09,4.80356103578e-09
2019-12-08 11:44:57.230000,6.09560244996e-09,5.26809074501e-09
2019-12-08 11:59:57.230000,6.07927526446e-09,5.28253602044e-09
2019-12-08 12:14:57.230000,5.31373831454e-09,4.44195432782e-09
2019-12-08 12:29:57.230000,5.99086900231e-09,5.05538614436e-09
2019-12-08 12:44:57.230000,6.3602663992e-09,5.42833844214e-09
2019-12-08 12:59:57.230000,6.13401103581e-09,5.20445622262e-09
2019-12-08 13:14:57.230000,6.14571724049e-09,5.22583029347e-09
2019-12-08 13:29:57.230000,6.75195112812e-09,5.94541287793e-09
2019-12-08 13:44:57.230000,6.22007194198e-09,5.32535494388e-09
2019-12-08 13:59:57.230000,6.56191438273e-09,5.47762886095e-09
2019-12-08 14:14:57.230000,6.42683180031e-09,5.37500322654e-09
2019-12-08 14:29:57.230000,6.59512601957e-09,5.4823011967e-09
2019-12-08 14:44:57.230000,6.30135574229e-09,5.25433320368e-09
2019-12-08 14:59:57.230000,6.29766757865e-09,4.87302292985e-09
2019-12-08 15:14:57.230000,6.21746395541e-09,5.1121049465e-09
2019-12-08 15:29:57.230000,6.26803488332e-09,5.44884953474e-09
2019-12-08 15:44:57.230000,6.03747764216e-09,5.17704260718e-09
2019-12-08 15:59:57.230000,6.173013173e-09,5.25888691695e-09
2019-12-08 16:14:57.230000,6.93887878882e-09,5.95280276889e-09
2019-12-08 16:29:57.230000,6.75278030043e-09,5.79258947225e-09
2019-12-08 16:44:57.230000,5.54930733067e-09,4.64884871428e-09
2019-12-08 16:59:57.230000,5.42646275829e-09,4.56924545261e-09
2019-12-08 17:14:57.230000,5.14407417948e-09,4.28617587485e-09
2019-12-08 17:29:57.230000,5.01309153269e-09,4.19842795552e-09
2019-12-08 17:44:57.230000,4.73065787358e-09,3.98275740047e-09
2019-12-08 17:59:57.230000,4.55560607232e-09,3.77747233856e-09
2019-12-08 18:14:57.230000,4.28129944082e-09,3.51749633404e-09
2019-12-08 18:29:57.230000,4.36917086861e-09,3.75910469647e-09
