Date,0.1-1.0,1.0-9.0,4.0-9.0
2019-11-30 00:29:59.019538,1.15032960693e-07,3.14114261241e-07,2.73201076636e-07
2019-11-30 00:44:59.019538,1.14200363259e-07,3.25415053711e-07,2.82156008854e-07
2019-11-30 00:59:59.019538,1.14381241872e-07,3.33230235886e-07,2.91430548034e-07
2019-11-30 01:14:59.019538,1.12150925418e-07,3.04987447207e-07,2.61141422903e-07
2019-11-30 01:29:59.019538,1.15310873829e-07,2.94199407334e-07,2.341681599e-07
2019-11-30 01:44:59.019538,1.13802389961e-07,2.57295248876e-07,2.09941480035e-07
2019-11-30 01:59:59.019538,1.20219962292e-07,2.56510187863e-07,2.07538191171e-07
2019-11-30 02:14:59.019538,1.21859561625e-07,2.62521643513e-07,2.18898251288e-07
2019-11-30 02:29:59.019538,1.21610245162e-07,2.84872694697e-07,2.41586367737e-07
2019-11-30 02:44:59.019538,1.17695819937e-07,3.02696216205e-07,2.55597458335e-07
2019-11-30 02:59:59.019538,1.14441431814e-07,3.19815378266e-07,2.84875107742e-07
2019-11-30 03:14:59.019538,1.21908354818e-07,2.91815917069e-07,2.59233541653e-07
2019-11-30 03:29:59.019538,1.1570132643e-07,2.8730021209e-07,2.53909032988e-07
2019-11-30 03:44:59.019538,1.12927222102e-07,2.6466026326e-07,2.31566340866e-07
2019-11-30 03:59:59.019538,1.1698610012e-07,2.56207898037e-07,2.17984015495e-07
2019-11-30 04:14:59.019538,1.19540914743e-07,3.22568085742e-07,2.78497620736e-07
2019-11-30 04:29:59.019538,1.20981178787e-07,3.21623898726e-07,2.76477722521e-07
2019-11-30 04:44:59.019538,1.2432443599e-07,2.79962409359e-07,2.29393318721e-07
2019-11-30 04:59:59.019538,1.20253316346e-07,3.60134172047e-07,3.09485488204e-07
2019-11-30 05:14:59.019538,1.27545130301e-07,4.89415795659e-07,4.2616961583e-07
2019-11-30 05:29:59.019538,1.45097532417e-07,5.42431949552e-07,4.70276082601e-07
2019-11-30 05:44:59.019538,1.67249130582e-07,5.03738669685e-07,4.1666323015e-07
