,4.0-14.0
2019-12-03 01:15:00,3.85165581316e-09
2019-12-03 01:30:00,3.9238570852e-09
2019-12-03 01:45:00,3.80544572116e-09
2019-12-03 02:00:00,3.51449655867e-09
2019-12-03 02:15:00,3.52775726466e-09
2019-12-03 02:30:00,4.83297821329e-09
2019-12-03 02:45:00,5.60262034319e-09
2019-12-03 03:00:00,4.16992664613e-09
2019-12-03 03:15:00,3.84817410404e-09
2019-12-03 03:30:00,4.27231522032e-09
2019-12-03 03:45:00,3.85416678514e-09
2019-12-03 04:00:00,5.11454315805e-09
2019-12-03 04:15:00,6.07320513373e-09
2019-12-03 04:30:00,6.43226101269e-09
2019-12-03 04:45:00,6.83433913037e-09
2019-12-03 05:00:00,8.81221297821e-09
2019-12-03 05:15:00,9.47660056435e-09
2019-12-03 05:30:00,1.05019337452e-08
2019-12-03 05:45:00,1.15052797928e-08
2019-12-03 06:00:00,1.35355322021e-08
2019-12-03 06:15:00,1.53644807081e-08
2019-12-03 06:30:00,1.51996432937e-08
2019-12-03 06:45:00,1.51571857584e-08
2019-12-03 07:00:00,1.5480633605e-08
2019-12-03 07:15:00,1.55137919863e-08
2019-12-03 07:30:00,1.52020411426e-08
2019-12-03 07:45:00,1.56048696046e-08
2019-12-03 08:00:00,1.64690581779e-08
2019-12-03 08:15:00,1.65630591073e-08
2019-12-03 08:30:00,1.65729836937e-08
2019-12-03 08:45:00,1.6334596935e-08
2019-12-03 09:00:00,1.61218598297e-08
2019-12-03 09:15:00,1.62667661615e-08
2019-12-03 09:30:00,1.66227575594e-08
2019-12-03 09:45:00,1.67118396431e-08
2019-12-03 10:00:00,1.63873781636e-08
2019-12-03 10:15:00,1.66618552368e-08
2019-12-03 10:30:00,1.66822626575e-08
2019-12-03 10:45:00,1.67357178117e-08
2019-12-03 11:00:00,1.62330710003e-08
2019-12-03 11:15:00,1.58381017434e-08
2019-12-03 11:30:00,1.61930407024e-08
2019-12-03 11:45:00,1.66614074757e-08
2019-12-03 12:00:00,1.60485681195e-08
2019-12-03 12:15:00,1.61375820581e-08
2019-12-03 12:30:00,1.53230387444e-08
2019-12-03 12:45:00,1.56094418592e-08
2019-12-03 13:00:00,1.54754566233e-08
2019-12-03 13:15:00,1.61077292641e-08
2019-12-03 13:30:00,1.61538609619e-08
2019-12-03 13:45:00,1.67098076441e-08
2019-12-03 14:00:00,1.65750479396e-08
2019-12-03 14:15:00,1.58029899993e-08
2019-12-03 14:30:00,1.61734006332e-08
2019-12-03 14:45:00,1.70259546924e-08
2019-12-03 15:00:00,1.59125511328e-08
2019-12-03 15:15:00,1.66571606872e-08
2019-12-03 15:30:00,1.62008503336e-08
2019-12-03 15:45:00,1.55304085605e-08
