,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-24 21:55:18.299000,5.10765498065e-08,1.39154621772e-08,1.43650685509e-08
2019-12-24 22:10:18.299000,5.43795582838e-08,1.45765198885e-08,1.50222595036e-08
2019-12-24 22:25:18.299000,5.5838129778e-08,1.35477469601e-08,1.39733290673e-08
2019-12-24 22:40:18.299000,5.62105618076e-08,1.5082356155e-08,1.5604377676e-08
2019-12-24 22:55:18.299000,5.81261773495e-08,1.6243333061e-08,1.67739082551e-08
2019-12-24 23:10:18.299000,5.9141256247e-08,1.61035778141e-08,1.65596183622e-08
2019-12-24 23:25:18.299000,5.69670289144e-08,1.67243591206e-08,1.71883430194e-08
2019-12-24 23:45:00.005000,6.12408186503e-08,1.72523917949e-08,1.7782025087e-08
2019-12-25 00:00:00.005000,6.25676016008e-08,1.97534804001e-08,2.02689309055e-08
2019-12-25 00:15:00.005000,9.49162085808e-08,1.99012282331e-08,2.05074946287e-08
2019-12-25 00:30:00.005000,8.54169005016e-08,2.00138410074e-08,2.06126719498e-08
2019-12-25 00:45:00.005000,6.62353801647e-08,1.96891384076e-08,2.03058446946e-08
2019-12-25 01:00:00.005000,6.59954625546e-08,2.17662098535e-08,2.23679385056e-08
2019-12-25 01:15:00.005000,1.29001006391e-07,2.3492282511e-08,2.40913145821e-08
2019-12-25 01:30:00.005000,1.31398669961e-07,2.31609839663e-08,2.4384249269e-08
2019-12-25 01:45:00.005000,1.54024932497e-07,2.29867894114e-08,2.37183567965e-08
2019-12-25 02:00:00.005000,1.91481587743e-07,2.28121428001e-08,2.35289925475e-08
2019-12-25 02:15:00.005000,1.65189945103e-07,2.46998726877e-08,2.54848147048e-08
2019-12-25 02:30:00.005000,6.76659832477e-08,2.39005182528e-08,2.46168631324e-08
2019-12-25 02:45:00.005000,6.2180070186e-08,2.19775177496e-08,2.26322860532e-08
2019-12-25 03:00:00.005000,6.18136855487e-08,2.11824710276e-08,2.19436820038e-08
2019-12-25 03:15:00.005000,9.08652940236e-08,2.60663140228e-08,2.73524161092e-08
