,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0,10.0-30.0
2020-04-20 06:59:59.000000,3.17127309163e-07,6.27492717696e-09,1.17723979782e-09,5.87316223258e-09,2.98464984816e-08
2020-04-20 07:14:59.000000,3.11427687816e-07,6.43500468854e-09,1.1315636903e-09,6.00324396023e-09,3.03320249406e-08
2020-04-20 07:29:59.000000,3.05045737986e-07,6.63114099765e-09,1.22786467841e-09,6.14925837592e-09,3.1334875494e-08
2020-04-20 07:44:59.000000,3.00735587691e-07,6.61541835045e-09,1.20027976879e-09,6.14682315897e-09,2.99013523368e-08
2020-04-20 07:59:59.000000,2.93475823815e-07,6.60955930197e-09,1.20238107985e-09,6.20628330797e-09,3.23363629761e-08
2020-04-20 08:14:59.000000,3.18905722233e-07,6.91907262846e-09,1.21480467228e-09,6.40720128054e-09,3.5533077325e-08
2020-04-20 08:29:59.000000,3.18498052225e-07,7.25526680415e-09,1.45232362608e-09,6.44099313252e-09,3.39503053443e-08
2020-04-20 08:44:59.000000,2.88450885505e-07,7.19241825433e-09,1.4101044122e-09,6.0783802988e-09,3.3476682045e-08
2020-04-20 08:59:59.000000,2.73576708675e-07,6.90163901877e-09,1.45825570664e-09,5.94514806121e-09,3.20861319286e-08
2020-04-20 09:14:59.000000,2.83793884398e-07,7.22589440015e-09,1.62510422965e-09,6.06075554076e-09,3.12057526e-08
2020-04-20 09:29:59.000000,2.99298331735e-07,7.63005390348e-09,1.89716945712e-09,6.28835088625e-09,3.08438459287e-08
2020-04-20 09:44:59.000000,2.91896629212e-07,7.01289498404e-09,1.80498792549e-09,6.0517830899e-09,3.15644220816e-08
2020-04-20 09:59:59.000000,2.88856047691e-07,7.27365632532e-09,1.82336409377e-09,6.18580637554e-09,3.11283346818e-08
2020-04-20 10:14:59.000000,2.86685159777e-07,7.54132076484e-09,2.13057868609e-09,6.35542267387e-09,3.15001193682e-08
2020-04-20 10:29:59.000000,2.82838160512e-07,7.6688614985e-09,2.20295168651e-09,6.31937895829e-09,3.15600740057e-08
2020-04-20 10:44:59.000000,2.82734146587e-07,7.90715080011e-09,2.26370976117e-09,6.43260840049e-09,3.2708525209e-08
2020-04-20 10:59:59.000000,3.03261806998e-07,8.0140713761e-09,2.22375606657e-09,6.36980040084e-09,3.16155444544e-08
2020-04-20 11:14:59.000000,2.99611073782e-07,8.70078972478e-09,2.69146601936e-09,6.61482595176e-09,3.16895561262e-08
2020-04-20 11:29:59.000000,2.98186463537e-07,8.58963004822e-09,2.91237144738e-09,6.42229217613e-09,3.02231231198e-08
2020-04-20 11:44:59.000000,3.11279847123e-07,8.28300173937e-09,2.93995987799e-09,6.25114017791e-09,2.87196248183e-08
2020-04-20 11:59:59.000000,3.00822208602e-07,8.40333392764e-09,2.66721831779e-09,6.65967792051e-09,3.20878792052e-08
2020-04-20 12:14:59.000000,2.86583801313e-07,8.52595855597e-09,2.36390200271e-09,6.49488585166e-09,3.19674222496e-08
2020-04-20 12:29:59.000000,2.89918708636e-07,8.30675199368e-09,2.75392422097e-09,6.51301879839e-09,3.14150529691e-08
2020-04-20 12:44:59.000000,2.99911482606e-07,8.35389189105e-09,3.12642074541e-09,6.6704094797e-09,3.13654632116e-08
2020-04-20 12:59:59.000000,2.79044325405e-07,8.28077770645e-09,2.82313252907e-09,6.58640228342e-09,3.32198802834e-08
2020-04-20 13:14:59.000000,2.89906022053e-07,8.64553280613e-09,2.8387992442e-09,6.69063045774e-09,3.19614109012e-08
2020-04-20 13:29:59.000000,2.9271140146e-07,8.40390119638e-09,2.8341243462e-09,6.54017521624e-09,2.86889195402e-08
2020-04-20 13:44:59.000000,2.89200054455e-07,8.47418935946e-09,2.97222995122e-09,6.53114859362e-09,3.02746510169e-08
2020-04-20 13:59:59.000000,2.74208119668e-07,8.91581218187e-09,3.13011005771e-09,6.68070555445e-09,3.11743751152e-08
2020-04-20 14:14:59.000000,2.89931851299e-07,8.83625792399e-09,2.89777638694e-09,6.67364655002e-09,3.09250430452e-08
2020-04-20 14:29:59.000000,2.86194232812e-07,9.23910432436e-09,3.34207156353e-09,6.94974163074e-09,3.17405732904e-08
2020-04-20 14:44:59.000000,2.61461943481e-07,1.21046905599e-08,6.21950017424e-09,8.69024631528e-09,2.9559354226e-08
2020-04-20 14:59:59.000000,2.65816520365e-07,1.12988417391e-08,5.68928560699e-09,8.19303766141e-09,3.01962212892e-08
2020-04-20 15:14:59.000000,2.78635723715e-07,8.99882125308e-09,3.71451503828e-09,6.89699413786e-09,3.10068411144e-08
2020-04-20 15:29:59.000000,2.77360538744e-07,8.69202525617e-09,3.11046076671e-09,6.58111321461e-09,2.94961857098e-08
2020-04-20 15:44:59.000000,2.7269262818e-07,8.94188206435e-09,3.13281672829e-09,6.84655264503e-09,3.26693350212e-08
2020-04-20 15:59:59.000000,2.66589983378e-07,8.89533840663e-09,3.31624431197e-09,6.83195605643e-09,3.32997747074e-08
